number,ump,serve year,birth year,All-star game,Division Series,League Championship Series,World Series,Wild Card Game,Other Leagues,Umpire School/Camp Instructor (Y/N),Umpire School/Camp Student (Y/N),Marital Status (Y/N),Children,B.S (Y/N),M.S (Y/N),Data source,call_ball,bc_ball,bc_ball_ratio,call_strike,bc_strike,bc_strike_ratio,total_call,bad_call,bad_call_ratio,bcr_i1,bcr_i2,bcr_i3,bcr_i4,bcr_i5,bcr_i6,bcr_i7,bcr_i8,bcr_i9,bcr_OT,bcr_z1,bcr_z2,bcr_z3,bcr_z4,bcr_z5,bcr_z6,bcr_z7,bcr_z8,bcr_z9,bcr_z11,bcr_z12,bcr_z13,bcr_z14,bcr_FF,bcr_SL,bcr_FT,bcr_CU,bcr_FC,bcr_SI,bcr_CH,bcr_FS,bcr_KC,bcr_EP,bcr_,bcr_KN
78,Adam Hamari,4.0,1983,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,1.0,1.0,1.0,n/a,1179,48,0.0407124681933842,622,143,0.22990353697749202,1801,191,0.10605219322598598,0.107142857142857,0.10526315789473699,0.115,0.12299465240641701,0.127659574468085,0.100371747211896,0.124423963133641,0.0958904109589041,0.0258620689655172,-1.0,0.17307692307692302,0.0967741935483871,0.17777777777777803,0.0,0.0,0.0273972602739726,0.136363636363636,0.0657894736842105,0.137931034482759,0.0915492957746479,0.16494845360824698,0.0830564784053156,0.12121212121212101,0.119935170178282,0.0870967741935484,0.120833333333333,0.0723684210526316,0.145038167938931,0.0854700854700855,0.0871794871794872,0.0476190476190476,0.166666666666667,-1.0,-1.0,-1.0
80,Adrian Johnson,11.0,1975,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,n/a,1345,75,0.0557620817843866,674,145,0.21513353115727,2019,220,0.10896483407627498,0.111607142857143,0.118811881188119,0.115702479338843,0.0863636363636364,0.11599999999999999,0.0933333333333333,0.11261261261261302,0.113445378151261,0.11834319526627197,0.0,0.22727272727272702,0.0943396226415094,0.326923076923077,0.0,0.0,0.0,0.152777777777778,0.0675675675675676,0.18965517241379298,0.118032786885246,0.0794979079497908,0.13262599469496,0.0809716599190283,0.117197452229299,0.0964187327823691,0.12041884816753899,0.126315789473684,0.0942028985507246,0.0747663551401869,0.12,0.0,0.0833333333333333,-1.0,0.0,-1.0
64,Alan Porter,8.0,1977,1.0,1.0,4.0,0.0,1.0,6.0,0.0,1.0,1.0,2.0,1.0,0.0,n/a,1317,87,0.0660592255125285,603,88,0.14593698175787698,1920,175,0.0911458333333333,0.0641711229946524,0.0782122905027933,0.10666666666666699,0.0829268292682927,0.13953488372093,0.0987654320987654,0.0923076923076923,0.0651162790697674,0.0810810810810811,0.0975609756097561,0.288135593220339,0.166666666666667,0.296296296296296,0.0135135135135135,0.0138888888888889,0.0416666666666667,0.131578947368421,0.17391304347826098,0.23809523809523803,0.0318471337579618,0.125,0.0559210526315789,0.0663716814159292,0.0971428571428571,0.0828025477707006,0.09170305676855901,0.0930232558139535,0.10077519379844999,0.11194029850746302,0.0683229813664596,0.0454545454545455,0.0689655172413793,0.0,-1.0,-1.0
72,Alfonso Marquez,19.5,1972,1.0,7.0,5.0,3.0,1.0,7.0,1.0,1.0,1.0,3.0,0.0,0.0,n/a,1379,105,0.0761421319796954,636,84,0.132075471698113,2015,189,0.0937965260545906,0.0833333333333333,0.11284046692607,0.079295154185022,0.0909090909090909,0.10280373831775699,0.101941747572816,0.0666666666666667,0.0952380952380952,0.1,0.0666666666666667,0.327272727272727,0.307692307692308,0.38095238095238104,0.0149253731343284,0.0,0.0444444444444444,0.138888888888889,0.22093023255814,0.14285714285714302,0.0482315112540193,0.0772357723577236,0.0873493975903614,0.0447761194029851,0.0975,0.0780141843971631,0.14173228346456698,0.0655021834061135,0.11940298507462699,0.12121212121212101,0.0328947368421053,0.08,0.15151515151515196,-1.0,0.0,-1.0
49,Andy Fletcher,19.5,1966,1.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,1.0,1.0,1.0,0.0,n/a,1164,70,0.0601374570446735,582,136,0.233676975945017,1746,206,0.11798396334478801,0.134615384615385,0.104395604395604,0.15979381443298998,0.16489361702127697,0.125714285714286,0.0952380952380952,0.0851063829787234,0.0826086956521739,0.129032258064516,-1.0,0.282608695652174,0.163265306122449,0.3529411764705879,0.0,0.0,0.0701754385964912,0.126984126984127,0.10447761194029902,0.17142857142857096,0.0976430976430976,0.076530612244898,0.152439024390244,0.10268948655256697,0.129958960328317,0.1,0.146551724137931,0.0995475113122172,0.126126126126126,0.12621359223300999,0.0979020979020979,0.0588235294117647,0.111111111111111,-1.0,-1.0,-1.0
55,Angel Hernandez,26.0,1961,3.0,9.0,7.0,2.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,n/a,1468,82,0.055858310626702996,710,116,0.163380281690141,2178,198,0.0909090909090909,0.0909090909090909,0.0776255707762557,0.103174603174603,0.106194690265487,0.101694915254237,0.0900473933649289,0.10900473933649302,0.0861423220973783,0.0520231213872832,0.0,0.28571428571428603,0.14285714285714302,0.14285714285714302,0.051948051948052,0.0,0.0649350649350649,0.141414141414141,0.115044247787611,0.18666666666666698,0.0769230769230769,0.105058365758755,0.0909090909090909,0.0506329113924051,0.098927294398093,0.102325581395349,0.07981220657277,0.0947867298578199,0.139784946236559,0.0526315789473684,0.0516431924882629,0.0757575757575758,0.0,-1.0,0.0,-1.0
97,Ben May,5.0,1982,1.0,0.0,0.0,0.0,0.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,wikipedia,405,17,0.0419753086419753,196,36,0.18367346938775503,601,53,0.0881863560732113,0.111111111111111,0.0806451612903226,0.0853658536585366,0.11594202898550698,0.12,0.0641025641025641,0.0923076923076923,0.0735294117647059,0.0545454545454545,-1.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0344827586206897,0.153846153846154,0.172413793103448,0.28571428571428603,0.0617283950617284,0.132530120481928,0.0571428571428571,0.0903225806451613,0.10447761194029902,0.0520833333333333,0.10666666666666699,0.0909090909090909,0.028169014084507005,0.136363636363636,0.125,0.0769230769230769,0.0555555555555556,-1.0,-1.0,-1.0
26,Bill Miller,20.0,1967,1.0,7.0,6.0,3.0,4.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,n/a,1221,44,0.03603603603603601,675,116,0.17185185185185198,1896,160,0.0843881856540084,0.0714285714285714,0.0639269406392694,0.0909090909090909,0.1,0.101449275362319,0.107476635514019,0.0818181818181818,0.066079295154185,0.0782122905027933,-1.0,0.0476190476190476,0.0576923076923077,0.13953488372093,0.0,0.0,0.0735294117647059,0.0675675675675676,0.0909090909090909,0.16304347826087,0.0570469798657718,0.10447761194029902,0.1484375,0.0743494423791822,0.0965909090909091,0.0647668393782383,0.128048780487805,0.0393258426966292,0.14285714285714302,0.0909090909090909,0.0758620689655172,0.0434782608695652,0.0,-1.0,-1.0,-1.0
3,Bill Welke,19.5,1967,2.0,4.0,3.0,1.0,2.0,6.0,0.0,1.0,1.0,4.0,1.0,0.0,n/a,1337,75,0.056095736724009,670,128,0.19104477611940301,2007,203,0.10114598903836601,0.0619834710743802,0.115,0.0995850622406639,0.105990783410138,0.0913705583756345,0.120171673819742,0.09274193548387101,0.0934579439252336,0.12,0.14285714285714302,0.245614035087719,0.125,0.25,0.0379746835443038,0.0,0.024390243902439,0.11940298507462699,0.10666666666666699,0.242105263157895,0.09316770186335399,0.0867579908675799,0.10650887573964501,0.0841487279843444,0.115236875800256,0.0773993808049536,0.0979381443298969,0.0706521739130435,0.0855263157894737,0.10227272727272699,0.12608695652173899,0.18181818181818202,0.0476190476190476,0.5,-1.0,-1.0
9,Brian Gorman,27.0,1959,2.0,10.0,5.0,3.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,n/a,885,46,0.0519774011299435,424,82,0.193396226415094,1309,128,0.0977845683728037,0.11834319526627197,0.0619469026548673,0.121621621621622,0.0952380952380952,0.12179487179487199,0.0564516129032258,0.062015503875969005,0.11278195488721801,0.0840336134453782,0.0869565217391304,0.17647058823529396,0.05,0.23333333333333303,0.0181818181818182,0.0,0.0512820512820513,0.185185185185185,0.0701754385964912,0.23809523809523803,0.0956175298804781,0.0814814814814815,0.12145748987854302,0.0590277777777778,0.11129568106312301,0.0773809523809524,0.0776699029126214,0.087719298245614,0.0684931506849315,0.112903225806452,0.0916030534351145,0.0769230769230769,0.107142857142857,0.5,-1.0,-1.0
