"","name","call_ball","bc_ball","bc_ball_ratio","call_strike","bc_strike","bc_strike_ratio","total_call","bad_call","bad_call_ratio","bcr_i1","bcr_i2","bcr_i3","bcr_i4","bcr_i5","bcr_i6","bcr_i7","bcr_i8","bcr_i9","bcr_OT","bcr_z1","bcr_z2","bcr_z3","bcr_z4","bcr_z5","bcr_z6","bcr_z7","bcr_z8","bcr_z9","bcr_z11","bcr_z12","bcr_z13","bcr_z14","bcr_FF","bcr_SL","bcr_FT","bcr_CU","bcr_FC","bcr_SI","bcr_CH","bcr_FS","bcr_KC","bcr_EP","bcr_","bcr_KN"
"14","Mike Winters",1199,83,0.0692243536280234,578,101,0.174740484429066,1777,184,0.103545301069218,0.115384615384615,0.111627906976744,0.113300492610837,0.106796116504854,0.11304347826087,0.106280193236715,0.0560747663551402,0.105263157894737,0.105882352941176,NA,0.321428571428571,0.25,0.229166666666667,0.0757575757575758,0,0.0597014925373134,0.178082191780822,0.111111111111111,0.149425287356322,0.029520295202952,0.128755364806867,0.0654545454545455,0.102739726027397,0.116504854368932,0.0877862595419847,0.118279569892473,0.106382978723404,0.0823529411764706,0.141361256544503,0.0473372781065089,0,0.0754716981132075,NA,NA,NA
"15","Jeff Kellogg",1409,75,0.0532292405961675,633,109,0.17219589257504,2042,184,0.0901077375122429,0.0443548387096774,0.110599078341014,0.0995260663507109,0.0779816513761468,0.0789473684210526,0.117408906882591,0.0995670995670996,0.0721153846153846,0.0989010989010989,0.133333333333333,0.3125,0.22,0.270833333333333,0.0333333333333333,0,0.0326086956521739,0.136986301369863,0.130952380952381,0.114942528735632,0.0535117056856187,0.0988593155893536,0.0900900900900901,0.0675182481751825,0.104060913705584,0.0709876543209877,0.121359223300971,0.0784313725490196,0.108527131782946,0.076530612244898,0.0751445086705202,0,0,NA,NA,NA
"16","Marvin Hudson",1452,80,0.0550964187327824,712,121,0.169943820224719,2164,201,0.0928835489833641,0.0846774193548387,0.103305785123967,0.0950413223140496,0.0987124463519313,0.0754716981132075,0.111111111111111,0.0810810810810811,0.0989010989010989,0.083743842364532,0.111111111111111,0.262295081967213,0.239130434782609,0.283018867924528,0.0163934426229508,0,0.0568181818181818,0.108695652173913,0.0842105263157895,0.125,0.0527859237536657,0.0974576271186441,0.0909090909090909,0.0852173913043478,0.110070257611241,0.0716180371352785,0.08125,0.0857142857142857,0.105263157894737,0.0886075949367089,0.0666666666666667,NA,0.112903225806452,NA,NA,NA
"17","Alfonso Marquez",1379,105,0.0761421319796954,636,84,0.132075471698113,2015,189,0.0937965260545906,0.0833333333333333,0.11284046692607,0.079295154185022,0.0909090909090909,0.102803738317757,0.101941747572816,0.0666666666666667,0.0952380952380952,0.1,0.0666666666666667,0.327272727272727,0.307692307692308,0.380952380952381,0.0149253731343284,0,0.0444444444444444,0.138888888888889,0.22093023255814,0.142857142857143,0.0482315112540193,0.0772357723577236,0.0873493975903614,0.0447761194029851,0.0975,0.0780141843971631,0.141732283464567,0.0655021834061135,0.119402985074627,0.121212121212121,0.0328947368421053,0.08,0.151515151515152,NA,0,NA
"18","Lance Barksdale",1109,58,0.0522993688007214,564,90,0.159574468085106,1673,148,0.0884638374178123,0.106060606060606,0.074468085106383,0.0729166666666667,0.0893854748603352,0.0736842105263158,0.0894736842105263,0.118055555555556,0.0882352941176471,0.0833333333333333,0.133333333333333,0.256410256410256,0.08,0.266666666666667,0.0294117647058824,0,0.0921052631578947,0.123076923076923,0.0746268656716418,0.144578313253012,0.0613026819923372,0.0566037735849057,0.130718954248366,0.0602409638554217,0.104529616724739,0.111864406779661,0.087719298245614,0.0522875816993464,0.1375,0.065,0.0414201183431953,0.0645161290322581,0.0714285714285714,NA,0,NA
"19","Bill Welke",1337,75,0.056095736724009,670,128,0.191044776119403,2007,203,0.101145989038366,0.0619834710743802,0.115,0.0995850622406639,0.105990783410138,0.0913705583756345,0.120171673819742,0.092741935483871,0.0934579439252336,0.12,0.142857142857143,0.245614035087719,0.125,0.25,0.0379746835443038,0,0.024390243902439,0.119402985074627,0.106666666666667,0.242105263157895,0.093167701863354,0.0867579908675799,0.106508875739645,0.0841487279843444,0.115236875800256,0.0773993808049536,0.0979381443298969,0.0706521739130435,0.0855263157894737,0.102272727272727,0.126086956521739,0.181818181818182,0.0476190476190476,0.5,NA,NA
"20","Dan Iassogna",1386,94,0.0678210678210678,677,117,0.172821270310192,2063,211,0.102278235579254,0.100840336134454,0.0933333333333333,0.125,0.125541125541126,0.0912863070539419,0.0946502057613169,0.0892018779342723,0.0952380952380952,0.102150537634409,0.1,0.166666666666667,0.155555555555556,0.396825396825397,0.0172413793103448,0,0.0769230769230769,0.114942528735632,0.0810810810810811,0.254545454545455,0.0737463126843658,0.0603448275862069,0.137931034482759,0.0655105973025048,0.119448698315467,0.0747663551401869,0.130434782608696,0.081447963800905,0.0818181818181818,0.0819672131147541,0.108490566037736,0,0.145161290322581,NA,0,NA
"21","Greg Gibson",741,62,0.0836707152496626,343,50,0.145772594752187,1084,112,0.103321033210332,0.134328358208955,0.0245901639344262,0.159663865546218,0.0957446808510638,0.125984251968504,0.0789473684210526,0.12280701754386,0.115384615384615,0.0692307692307692,NA,0.407407407407407,0.285714285714286,0.352941176470588,0,0,0.06,0.16,0.128205128205128,0.309090909090909,0.0613496932515337,0.0518518518518519,0.116564417177914,0.0522388059701493,0.106435643564356,0.0898876404494382,0.151162790697674,0.116279069767442,0.131147540983607,0.0649350649350649,0.10377358490566,0,0.032258064516129,NA,NA,NA
"22","Angel Hernandez",1468,82,0.055858310626703,710,116,0.163380281690141,2178,198,0.0909090909090909,0.0909090909090909,0.0776255707762557,0.103174603174603,0.106194690265487,0.101694915254237,0.0900473933649289,0.109004739336493,0.0861423220973783,0.0520231213872832,0,0.285714285714286,0.142857142857143,0.142857142857143,0.051948051948052,0,0.0649350649350649,0.141414141414141,0.115044247787611,0.186666666666667,0.0769230769230769,0.105058365758755,0.0909090909090909,0.0506329113924051,0.098927294398093,0.102325581395349,0.07981220657277,0.0947867298578199,0.139784946236559,0.0526315789473684,0.0516431924882629,0.0757575757575758,0,NA,0,NA
"23","John Tumpane",992,50,0.0504032258064516,452,62,0.13716814159292,1444,112,0.0775623268698061,0.0918367346938776,0.0853658536585366,0.108108108108108,0.0847457627118644,0.0402298850574713,0.0670391061452514,0.0666666666666667,0.0970149253731343,0.0738255033557047,0.0666666666666667,0.368421052631579,0.115384615384615,0.194444444444444,0.0666666666666667,0,0.0307692307692308,0.0769230769230769,0.0819672131147541,0.164383561643836,0.0537190082644628,0.0578034682080925,0.0785123966942149,0.0576368876080692,0.083969465648855,0.0443548387096774,0.0784313725490196,0.110236220472441,0.0943396226415094,0.105633802816901,0.0486111111111111,0,0.1,NA,NA,NA
"24","Adrian Johnson",1345,75,0.0557620817843866,674,145,0.21513353115727,2019,220,0.108964834076275,0.111607142857143,0.118811881188119,0.115702479338843,0.0863636363636364,0.116,0.0933333333333333,0.112612612612613,0.113445378151261,0.118343195266272,0,0.227272727272727,0.0943396226415094,0.326923076923077,0,0,0,0.152777777777778,0.0675675675675676,0.189655172413793,0.118032786885246,0.0794979079497908,0.13262599469496,0.0809716599190283,0.117197452229299,0.0964187327823691,0.120418848167539,0.126315789473684,0.0942028985507246,0.0747663551401869,0.12,0,0.0833333333333333,NA,0,NA
"25","Brian Knight",1036,63,0.0608108108108108,544,124,0.227941176470588,1580,187,0.118354430379747,0.170886075949367,0.109195402298851,0.117647058823529,0.116161616161616,0.136645962732919,0.0963855421686747,0.103960396039604,0.105263157894737,0.125,0.0769230769230769,0.307692307692308,0.0526315789473684,0.153846153846154,0.0434782608695652,0,0.0447761194029851,0.166666666666667,0.0882352941176471,0.273809523809524,0.0980392156862745,0.128712871287129,0.140562248995984,0.0971867007672634,0.128482972136223,0.0817120622568093,0.18705035971223,0.0880503144654088,0.127659574468085,0.120879120879121,0.104294478527607,0.153846153846154,0.0555555555555556,NA,NA,NA
"26","Phil Cuzzi",1264,59,0.0466772151898734,696,117,0.168103448275862,1960,176,0.0897959183673469,0.0718232044198895,0.0901287553648069,0.0717299578059072,0.104477611940299,0.0888888888888889,0.102941176470588,0.111627906976744,0.0692640692640693,0.0940594059405941,0.157894736842105,0.193548387096774,0.0862068965517241,0.235294117647059,0.0506329113924051,0,0.0447761194029851,0.0864197530864197,0.0422535211267606,0.12037037037037,0.0555555555555556,0.115577889447236,0.0947712418300654,0.0926275992438563,0.0963687150837989,0.0493506493506494,0.135746606334842,0.11965811965812,0.0808080808080808,0.128378378378378,0.0192307692307692,0.162162162162162,0.241379310344828,NA,NA,NA
"27","Ed Hickox",1385,91,0.0657039711191336,680,147,0.216176470588235,2065,238,0.115254237288136,0.111111111111111,0.0945945945945946,0.109947643979058,0.126582278481013,0.111553784860558,0.104545454545455,0.148148148148148,0.0973451327433628,0.160714285714286,0.0476190476190476,0.327868852459016,0.26,0.38,0.0769230769230769,0,0.0625,0.134328358208955,0,0.189473684210526,0.0892307692307692,0.0897435897435897,0.138036809815951,0.0935251798561151,0.118556701030928,0.125,0.128834355828221,0.0662251655629139,0.125,0.105882352941176,0.120603015075377,0.212121212121212,0.0597014925373134,NA,0.2,NA
"28","Ron Kulpa",1128,66,0.0585106382978723,582,104,0.178694158075601,1710,170,0.0994152046783626,0.151041666666667,0.0446428571428571,0.114754098360656,0.1,0.099009900990099,0.0714285714285714,0.107317073170732,0.121546961325967,0.1,0.0689655172413793,0.326530612244898,0.0952380952380952,0.292682926829268,0.0886075949367089,0,0.0133333333333333,0.119402985074627,0.0357142857142857,0.216216216216216,0.0546075085324232,0.0847457627118644,0.123711340206186,0.091358024691358,0.106990014265335,0.104918032786885,0.128,0.0909090909090909,0.127272727272727,0.0948275862068965,0.0575539568345324,0,0.0526315789473684,NA,0.1,NA
"29","Dan Bellino",1549,81,0.05229180116204,754,117,0.155172413793103,2303,198,0.0859748154580981,0.122743682310469,0.0864661654135338,0.0824372759856631,0.0595744680851064,0.0836501901140684,0.105454545454545,0.0615384615384615,0.0979591836734694,0.0526315789473684,0.0833333333333333,0.25,0.175438596491228,0.303571428571429,0.0222222222222222,0,0,0.181818181818182,0.0674157303370786,0.125,0.0571428571428571,0.0954063604240283,0.0604534005037783,0.0828828828828829,0.0890957446808511,0.0606741573033708,0.0875,0.0826446280991736,0.0638297872340425,0.124600638977636,0.0790697674418605,0.145833333333333,0.0294117647058824,NA,NA,NA
"30","Brian O'Nora",1364,100,0.0733137829912024,733,120,0.163710777626194,2097,220,0.104911778731521,0.112970711297071,0.114754098360656,0.0969162995594714,0.084070796460177,0.106870229007634,0.0912863070539419,0.0950226244343891,0.0922330097087379,0.14792899408284,0.103448275862069,0.413333333333333,0.25,0.377358490566038,0,0,0.0540540540540541,0.105882352941176,0.0392156862745098,0.166666666666667,0.0510510510510511,0.102564102564103,0.100946372239748,0.094,0.117647058823529,0.0868167202572347,0.116959064327485,0.0921052631578947,0.0916666666666667,0.153846153846154,0.0612244897959184,0.0666666666666667,0.0707070707070707,NA,0,NA
"31","Tripp Gibson",1283,56,0.0436477007014809,649,112,0.172573189522342,1932,168,0.0869565217391304,0.117117117117117,0.0730593607305936,0.0566801619433198,0.0882352941176471,0.0679611650485437,0.118918918918919,0.0841121495327103,0.0930232558139535,0.0909090909090909,NA,0.163934426229508,0.0930232558139535,0.176470588235294,0.0461538461538462,0,0.0128205128205128,0.078125,0.132530120481928,0.147727272727273,0.0650406504065041,0.0546448087431694,0.117460317460317,0.086864406779661,0.101231190150479,0.0608365019011407,0.0930232558139535,0.050561797752809,0.0598290598290598,0.124401913875598,0.0628019323671498,0.0833333333333333,0.121621621621622,NA,NA,NA
"32","Tim Timmons",1212,79,0.0651815181518152,612,107,0.17483660130719,1824,186,0.101973684210526,0.0995670995670996,0.161137440758294,0.0698924731182796,0.112903225806452,0.0952380952380952,0.076555023923445,0.126126126126126,0.1,0.0604026845637584,NA,0.210526315789474,0.104166666666667,0.232558139534884,0.0166666666666667,0,0.116279069767442,0.191780821917808,0.141176470588235,0.197368421052632,0.0707395498392283,0.0772946859903382,0.13166144200627,0.0669975186104218,0.101408450704225,0.0971223021582734,0.146666666666667,0.0806451612903226,0.0952380952380952,0.153374233128834,0.0595238095238095,0,0.104477611940299,NA,NA,NA
